datetime,open,high,low,close,vol
2015-01-05 17:31:32.000000,73870,74030,73730,73730,1255
2015-01-05 17:36:47.000000,73730,73790,73490,73490,6630
2015-01-05 17:41:30.000000,73490,73570,73270,73570,1966
2015-01-05 17:44:20.000000,73570,73800,73500,73800,2984
2015-01-05 17:54:14.000000,73800,73910,73610,73910,5092
2015-01-05 18:01:24.000000,73910,74180,73880,74180,2263
2015-01-05 18:03:29.000000,74180,74370,74070,74370,2975
2015-01-05 18:05:45.000000,74370,74620,74320,74620,4717
2015-01-05 18:10:09.000000,74620,74690,74390,74390,2249
2015-01-05 18:11:54.000000,74390,74570,74270,74570,1651
2015-01-05 18:13:54.000000,74570,74640,74340,74640,4233
2015-01-05 18:20:45.000000,74640,74870,74570,74570,5211
2015-01-05 18:22:43.000000,74570,74830,74530,74830,1170
2015-01-05 18:24:19.000000,74830,75040,74740,75040,1422
2015-01-05 18:25:02.000000,75040,75260,74960,75260,8966
2015-01-05 18:29:01.000000,75260,75300,75000,75000,2169
2015-01-05 18:31:05.000000,75000,75010,74710,74710,1172
2015-01-05 18:32:25.000000,74710,74810,74510,74510,3301
2015-01-05 18:35:42.000000,74510,74610,74310,74610,2392
2015-01-05 18:37:52.000000,74610,74750,74450,74450,842
2015-01-05 18:38:17.000000,74450,74650,74350,74650,1764
2015-01-05 18:39:19.000000,74650,74690,74390,74390,1971
2015-01-05 18:40:28.000000,74390,74630,74330,74630,2934
2015-01-05 18:43:31.000000,74630,74720,74420,74720,707
2015-01-05 18:44:02.000000,74720,74800,74470,74470,810
2015-01-05 19:00:00.000000,74470,74610,74200,74610,21
2015-01-05 19:00:00.001000,74610,74610,74280,74280,5
2015-01-05 19:00:01.000000,74280,74430,74110,74430,621
2015-01-05 19:02:06.000000,74430,74600,74300,74600,1653
2015-01-05 19:09:49.000000,74600,74600,74300,74300,321
2015-01-05 19:10:29.000000,74300,74510,74210,74210,1244
2015-01-05 19:19:34.000000,74210,74380,74080,74080,1843
2015-01-05 19:28:03.000000,74080,74120,73820,73820,799
2015-01-05 19:28:53.000000,73820,74030,73730,74030,774
2015-01-05 19:30:14.000000,74030,74100,73800,73800,2015
2015-01-05 19:35:46.000000,73800,73900,73600,73900,2857
2015-01-05 19:42:38.000000,73900,74130,73830,74130,2022
2015-01-05 19:53:57.000000,74130,74240,73940,73940,1377
2015-01-05 19:56:11.000000,73940,74220,73920,74220,491
2015-01-05 19:57:49.000000,74220,74250,73930,73930,204
2015-01-05 19:58:00.000000,73930,74030,73730,73730,1066
2015-01-05 20:00:08.000000,73730,73980,73680,73980,470
2015-01-05 20:01:44.000000,73980,73980,73680,73680,557
2015-01-05 20:03:58.000000,73680,73820,73520,73520,2043
2015-01-05 20:15:14.000000,73520,73810,73510,73810,1097
2015-01-05 20:18:33.000000,73810,73870,73570,73570,1098
2015-01-05 20:26:13.000000,73570,73630,73330,73630,2599
2015-01-05 20:37:17.000000,73630,73890,73590,73890,1249
2015-01-05 20:43:13.000000,73890,74020,73720,74020,678
2015-01-05 20:44:42.000000,74020,74030,73730,73730,659
2015-01-05 20:47:01.000000,73730,73960,73660,73960,712
2015-01-05 20:50:35.000000,73960,73960,73660,73660,550
2015-01-05 20:55:32.000000,73660,73780,73480,73480,611
2015-01-05 20:57:46.000000,73480,73610,73310,73310,1180
2015-01-05 21:02:07.000000,73310,73500,73200,73500,1459
2015-01-05 21:04:50.000000,73500,73730,73430,73730,709
2015-01-05 21:08:01.000000,73730,73870,73570,73570,811
2015-01-05 21:10:25.000000,73570,73630,73330,73330,1075
2015-01-05 21:15:26.000000,73330,73540,73240,73540,3535
2015-01-05 21:32:14.000000,73540,73600,73300,73600,1578
2015-01-05 21:42:03.000000,73600,73760,73460,73460,813
2015-01-05 21:43:49.000000,73460,73710,73410,73710,1623
2015-01-05 21:52:52.000000,73710,73750,73450,73450,1368
2015-01-05 22:02:04.000000,73450,73530,73230,73230,2561
2015-01-05 22:12:52.000000,73230,73330,73030,73330,2194
2015-01-05 22:17:41.000000,73330,73350,73050,73050,2178
2015-01-05 22:30:37.000000,73050,73110,72810,72810,6280
2015-01-05 22:57:20.000000,72810,73000,72700,73000,2359
2015-01-05 23:02:47.000000,73000,73140,72840,73140,2020
2015-01-05 23:20:00.000000,73140,73240,72940,72940,2496
2015-01-05 23:39:49.000000,72940,73200,72940,73100,1367
